B,G,R,OUT
36,16,16,1
2,175,253,1
218,181,184,1
97,128,140,1
12,5,5,1
40,17,15,1
39,36,136,0
41,76,139,0
36,219,179,0
45,64,132,0
30,80,38,0
42,60,37,0
31,147,70,0
6,16,19,0
132,195,226,0
45,70,115,0
42,54,147,1
26,40,63,1
182,191,189,1
18,14,11,1
76,72,117,1
45,47,153,1
25,38,31,1
195,213,205,1
33,33,56,1
92,158,184,1
139,177,212,0
46,85,125,0
150,180,212,0
72,108,144,0
84,199,171,0
252,220,222,0
240,149,173,0
6,195,210,0
1,143,111,0
0,149,134,0
1,46,156,1
1,71,192,1
0,123,228,1
2,59,160,1
13,15,27,1
117,104,98,1
228,217,211,1
55,58,71,1
1,76,172,1
39,32,47,1
1,129,101,0
28,169,176,0
137,183,230,0
0,106,103,0
24,94,186,0
7,20,167,0
0,152,143,0
162,207,240,0
33,98,205,0
208,218,230,0
8,8,11,1
129,149,162,1
27,120,202,1
50,161,205,1
152,205,224,1
162,158,158,1
111,177,195,1
14,29,59,1
234,235,240,1
11,98,172,1
55,69,67,0
19,21,21,0
191,255,207,0
77,89,83,0
160,220,190,0
104,211,142,0
203,221,250,0
80,118,250,0
41,94,144,0
73,139,87,0
17,29,31,1
171,178,247,1
150,161,158,1
109,118,245,1
229,238,241,1
135,130,139,1
69,86,72,1
98,79,66,1
147,115,102,1
175,167,254,1
1,88,50,0
1,16,2,0
2,98,61,0
18,54,38,0
45,164,119,0
62,170,134,0
0,56,37,0
2,102,66,0
18,149,99,0
7,39,34,0
55,152,208,1
4,32,63,1
15,79,103,1
175,189,187,1
4,56,96,1
10,13,17,1
157,168,152,1
35,173,249,1
36,156,232,1
24,40,53,1
89,219,202,0
17,91,65,0
45,96,88,0
36,139,118,0
100,131,170,0
129,175,193,0
57,115,127,0
128,193,194,0
111,142,175,0
106,189,174,0
11,65,236,1
235,190,255,1
2,1,6,1
34,177,238,1
102,144,189,1
125,90,52,1
31,98,183,1
219,229,246,1
222,175,183,1
43,64,102,1
10,27,16,0
55,106,72,0
26,50,56,0
21,45,45,0
44,48,72,0
39,62,48,0
61,122,166,0
158,56,97,0
42,1,58,0
171,115,180,0
210,213,218,1
185,188,179,1
168,208,206,1
98,119,117,1
149,188,186,1
54,106,88,1
198,215,212,1
130,148,149,1
240,234,227,1
220,214,207,1
47,105,254,0
22,36,84,0
241,103,251,0
17,196,255,0
17,13,88,0
109,165,212,0
158,218,217,0
68,117,73,0
81,163,121,0
56,114,66,0
18,15,24,1
93,131,195,1
11,48,132,1
255,251,251,1
41,32,35,1
120,162,209,1
22,22,34,1
100,142,201,1
19,18,22,1
20,46,100,1
36,32,43,0
88,153,121,0
96,63,201,0
70,137,100,0
15,39,37,0
217,210,215,0
227,181,254,0
203,192,212,0
63,153,110,0
132,123,209,0
38,44,39,1
192,247,254,1
9,57,169,1
87,100,98,1
99,63,45,1
136,208,208,1
109,117,117,1
100,85,69,1
35,39,34,1
24,21,17,1
17,151,128,0
8,133,114,0
55,131,127,0
3,88,74,0
30,75,89,0
198,208,215,0
187,202,211,0
159,177,194,0
46,108,108,0
113,142,157,0
18,17,21,1
0,147,249,1
4,154,238,1
9,21,33,1
0,67,174,1
162,208,232,1
202,219,222,1
57,47,47,1
26,35,62,1
0,138,231,1
